Name,New Rank,Old Rank,Company,Link
Bingo Showdown -> Bingo Live!,369,391,Spicerack,https://www.appannie.com/apps/ios/app/bingo-showdown/details/
Bubbles Empire Champions,371,437,Yonatan Erez,https://www.appannie.com/apps/ios/app/bubbles-empire-champions/details/
NBA LIVE Mobile Basketball,375,401,Electronic Arts,https://www.appannie.com/apps/ios/app/nba-live-mobile/details/
5 Differences Online,377,414,Smart Project,https://www.appannie.com/apps/ios/app/5-differences-online/details/
Charm King™,381,394,PlayQ,https://www.appannie.com/apps/ios/app/charm-king/details/
Injustice 2,382,413,Warner Bros,https://www.appannie.com/apps/ios/app/injustice-2/details/
My Story: Choose Your Own Path,384,421,Nanobit,https://www.appannie.com/apps/ios/app/my-story-choose-your-path/details/
WGT Golf,387,411,WGT,https://www.appannie.com/apps/ios/app/wgt-golf-mobile/details/
Hearthstone,388,408,Blizzard Entertainment,https://www.appannie.com/apps/ios/app/hearthstone-heroes-warcraft/details/
Mahjong+,390,407,Jam City,https://www.appannie.com/apps/ios/app/mahjong-city-tours/details/
Word Crush - Fun Puzzle Game,391,404,Fotoable,https://www.appannie.com/apps/ios/app/word-crush-fun-puzzle-game/details/
Castle Clash: Guild Royale,396,481,IGG,https://www.appannie.com/apps/ios/app/castle-clash-by-igg/details/
Seekers Notes®: Hidden Mystery,397,439,MYTONA,https://www.appannie.com/apps/ios/app/seekers-notes-mysteries-darkwood/details/
Rosetta Stone: Learn Languages,399,430,Rosetta Stone,https://www.appannie.com/apps/ios/app/learn-languages-rosetta-stone/details/
Grand Summoners,401,449,Good Smile Company,https://www.appannie.com/apps/ios/app/grand-summoners/details/
letgo: Sell & Buy Used Stuff,402,441,letgo,https://www.appannie.com/apps/ios/app/letgo-sell-buy-second-hand/details/
Hulahoop: Location Sharing,404,415,AppHeroes,https://www.appannie.com/apps/ios/app/hulahoop-location-finder/details/
Grammarly Keyboard,406,460,Grammarly,https://www.appannie.com/apps/ios/app/the-grammarly-keyboard-write-flawlessly-everywhere/details/
Island King-Summer Fairy,407,458,Aladin,https://www.appannie.com/apps/ios/app/island-king/details/
Zodiac Touch - psychic reading,411,476,Zodiac Psychics,https://www.appannie.com/apps/ios/app/zodiac-touch/details/
Dice With Buddies: Social Game,413,462,Scopely,https://www.appannie.com/apps/ios/app/dice-buddies-free-classic/details/
Weather - The Weather Channel,425,451,The Weather Company,https://www.appannie.com/apps/ios/app/the-weather-channel-and-weathercom-local-forecasts-radar-and-storm-tracking/details/
Enlight Quickshot: Edit Photos,426,445,Lightricks,https://www.appannie.com/apps/ios/app/enlight-quickshot/details/
Rock N' Cash Casino Slots,427,495,Flysher,https://www.appannie.com/apps/ios/app/rock-n-cash-casino-slots-free-vegas-slot-machine/details/
Cookie Jam Blast™ Match 3 Game,428,491,Jam City,https://www.appannie.com/apps/ios/app/cookie-jam-blast/details/
Bricks Ball Crusher,433,480,Poseidon Games,https://www.appannie.com/apps/ios/app/bricks-ball-crusher/details/
Call me a Legend,436,448,Six Waves,https://www.appannie.com/apps/ios/app/call-me-a-legend/details/
Manor Cafe,441,474,Gamegos,https://www.appannie.com/apps/ios/app/manor-cafe/details/
Nеtwоrk Sсаnnеr,442,463,Artvision OU,https://www.appannie.com/apps/ios/app/nd0b5twd0berk-sd181d0b0nnd0b5r/details/
Campus Game,445,466,Amrita Studio,https://www.appannie.com/apps/ios/app/campus-game/details/
Game of War - Fire Age,452,475,MZ,https://www.appannie.com/apps/ios/app/game-of-war-fire-age/details/
Show Me Vegas Slots Casino App,455,496,KSG Mobile,https://www.appannie.com/apps/ios/app/show-me-vegas-slots-casino-app/details/
Hungry Shark World,457,486,Ubisoft,https://www.appannie.com/apps/ios/app/1046846443/details/
