Rank,Name,Company,Link
87,Kepler Attack,Red Sprite Studios,https://www.appannie.com/apps/ios/app/kepler-attack/details/
88,Very Little Nightmares,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/ios/app/very-little-nightmares/details/
89,Need for Speed™ Most Wanted,Electronic Arts,https://www.appannie.com/apps/ios/app/need-for-speed-most-wanted-2/details/
90,Star Wars™: KOTOR,Aspyr,https://www.appannie.com/apps/ios/app/star-wars-knights-old-republic-2/details/
91,Scanner Pro: PDF Scanner App,Readdle,https://www.appannie.com/apps/ios/app/scanner-pro-by-readdle/details/
92,RadarScope,Base Velocity,https://www.appannie.com/apps/ios/app/radarscope/details/
93,AnkiMobile Flashcards,Damien Elmes,https://www.appannie.com/apps/ios/app/ankimobile-flashcards/details/
94,Papa's Scooperia To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-scooperia-to-go/details/
95,FL Studio Mobile,Image Line,https://www.appannie.com/apps/ios/app/fl-studio-mobile-hd/details/
96,5-0 Radio Pro Police Scanner,Rego apps,https://www.appannie.com/apps/ios/app/5-0-radio-pro-police-scanner/details/
97,Camp & RV - Tents to RV Parks,Allstays,https://www.appannie.com/apps/ios/app/camp-rv-tent-camping-to-rv-parks/details/
98,Sunday Lawn,Donut Games,https://www.appannie.com/apps/ios/app/sunday-lawn/details/
99,Earn to Die 2,Not Doppler,https://www.appannie.com/apps/ios/app/earn-to-die-2/details/
100,Couch to 5K® - Run training,ActiveNetwork,https://www.appannie.com/apps/ios/app/couch-to-5k-running-app-training/details/
101,iVerify. - Secure your Phone!,Trail of Bits,https://www.appannie.com/apps/ios/app/iverify-2/details/
102,kirakira+,Kentaro Yama,https://www.appannie.com/apps/ios/app/kirakira-2/details/
103,Bully: Anniversary Edition,Rockstar Games,https://www.appannie.com/apps/ios/app/bully-anniversary-edition/details/
104,TonalEnergy Tuner & Metronome,"TonalEnergy, Inc",https://www.appannie.com/apps/ios/app/tonalenergy-chromatic-tuner-and-metronome/details/
105,Papa's Pancakeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-pancakeria-to-go/details/
106,Getting Over It,Bennett Foddy,https://www.appannie.com/apps/ios/app/getting-over-it-3/details/
107,Heads Up! Kids,Warner Bros,https://www.appannie.com/apps/ios/app/heads-up-pictures/details/
108,GoodNotes 5,TimeBaseTech,https://www.appannie.com/apps/ios/app/goodnotes-5/details/
109,LT.SOUNDS,Badfish Labs,https://www.appannie.com/apps/ios/app/lt-sounds/details/
110,The Almost Gone,Playdigious,https://www.appannie.com/apps/ios/app/the-almost-gone/details/
111,MarineTraffic - Ship Tracking,MarineTraffic,https://www.appannie.com/apps/ios/app/marinetraffic-ships-wind/details/
